sourceOddCore,destinationOddCore,count
1453,545,1
1457,1093,1
1463,2195,1
1469,551,1
1471,2207,1
1475,2213,1
1481,1111,1
1487,2231,1
1493,35,1
1499,2249,1
1505,1129,1
1511,2267,1
1525,143,1
1529,1147,1
1547,2321,1
1549,581,1
1559,2339,1
1565,587,1
1579,2369,1
1583,2375,1
1595,2393,1
1601,1201,1
1613,605,1
1615,2423,1
1619,2429,1
1633,1225,1
1637,307,1
1655,2483,1
1667,2501,1
1673,1255,1
1687,2531,1
1691,2537,1
1709,641,1
1721,1291,1
1727,2591,1
1741,653,1
1745,1309,1
1763,2645,1
1777,1333,1
1781,167,1
1795,2693,1
1799,2699,1
1807,2711,1
1817,1363,1
1835,2753,1
1845,173,1
1853,695,1
1871,2807,1
1883,2825,1
1889,1417,1
1903,2855,1
1907,2861,1
1925,361,1
1937,1453,1
1943,2915,1
1961,1471,1
1979,2969,1
1997,749,1
2015,3023,1
2033,1525,1
2045,767,1
2051,3077,1
2065,1549,1
2069,97,1
2087,3131,1
2105,1579,1
2119,3179,1
2123,3185,1
2125,797,1
2141,803,1
2153,1615,1
2159,3239,1
2177,1633,1
2195,3293,1
2207,3311,1
2213,415,1
2227,3341,1
2231,3347,1
2249,1687,1
2267,3401,1
2287,3431,1
2321,1741,1
2339,3509,1
2369,1777,1
2375,3563,1
2389,7,1
2393,1795,1
2423,3635,1
2429,911,1
2483,3725,1
2501,469,1
2531,3797,1
2537,1903,1
2551,3827,1
2591,3887,1
2595,3893,1
2645,31,1
2683,4025,1
2693,505,1
2699,4049,1
2711,4067,1
2753,2065,1
2807,4211,1
2825,2119,1
2833,2125,1
2855,4283,1
2861,1073,1
2915,4373,1
2969,2227,1
3007,4511,1
3019,4529,1
3023,4535,1
3037,1139,1
3049,2287,1
3077,577,1
3131,4697,1
3135,4703,1
3179,4769,1
3185,2389,1
3239,4859,1
3293,1235,1
3311,4967,1
3341,1253,1
3347,5021,1
3349,157,1
3397,637,1
3401,2551,1
3431,5147,1
3509,329,1
3523,5285,1
3563,5345,1
3577,2683,1
3635,5453,1
3725,1397,1
3797,89,1
3827,5741,1
3887,5831,1
3893,365,1
4009,3007,1
4025,3019,1
4049,3037,1
4067,6101,1
4211,6317,1
4283,6425,1
4373,205,1
4465,3349,1
4511,6767,1
4529,3397,1
4535,6803,1
4697,3523,1
4703,7055,1
4769,3577,1
4819,7229,1
4859,7289,1
4967,7451,1
5021,1883,1
5147,7721,1
5285,991,1
5345,4009,1
5453,2045,1
5467,8201,1
5741,2153,1
5791,8687,1
5831,8747,1
5871,8807,1
5953,4465,1
6101,143,1
6151,9227,1
6317,2369,1
6425,4819,1
6715,10073,1
6767,10151,1
6803,10205,1
7055,10583,1
7229,2711,1
7289,5467,1
7381,173,1
7451,11177,1
7555,11333,1
7721,5791,1
8131,12197,1
8201,6151,1
8383,12575,1
8687,13031,1
8747,13121,1
8807,13211,1
8953,6715,1
9227,13841,1
9841,7381,1
10073,7555,1
10151,15227,1
10205,3827,1
10381,3893,1
10583,15875,1
11177,8383,1
11333,2125,1
11937,8953,1
12197,2287,1
12541,4703,1
12575,18863,1
13031,19547,1
13121,9841,1
13211,19817,1
13841,10381,1
14455,21683,1
14863,22295,1
15227,22841,1
15875,23813,1
17131,25697,1
18863,28295,1
19273,14455,1
19547,29321,1
19817,14863,1
20875,31313,1
21683,32525,1
21991,32987,1
22295,33443,1
22841,17131,1
23485,8807,1
23813,4465,1
25697,19273,1
28295,42443,1
29321,21991,1
31313,23485,1
32525,12197,1
32987,49481,1
33443,50165,1
37111,55667,1
42443,63665,1
47749,8953,1
49481,37111,1
50165,4703,1
55667,83501,1
63665,47749,1
83501,31313,1
