number,definiteConnectedNumber,optionalConnectedNumber,distanceFromRoot,towerHeight,factorCount,primeFactorization,primeNumberSystem
5830,11660,1943,36,1,4,"2^1 * 5^1 * 11^1 * 53^1",1000000000010101
5831,11662,,49,0,2,"7^3 * 17^1",1003000
5840,11680,,98,4,3,"2^4 * 5^1 * 73^1",100000000000000000104
5884,11768,1961,173,2,2,"2^2 * 1471^1",10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002
5938,11876,1979,142,1,2,"2^1 * 2969^1",10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
5992,11984,1997,49,3,3,"2^3 * 7^1 * 107^1",1000000000000000000000001003
6014,12028,,155,1,3,"2^1 * 31^1 * 97^1",1000000000000010000000001
6038,12076,,67,1,2,"2^1 * 3019^1",1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
6046,12092,2015,93,1,2,"2^1 * 3023^1",10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
6074,12148,,62,1,2,"2^1 * 3037^1",100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
6100,12200,2033,111,2,3,"2^2 * 5^2 * 61^1",100000000000000202
6101,12202,,111,0,1,"6101^1",1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
6136,12272,2045,62,3,3,"2^3 * 13^1 * 59^1",10000000000100003
6151,12302,,111,0,1,"6151^1",1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
6154,12308,2051,36,1,3,"2^1 * 17^1 * 181^1",100000000000000000000000000000000001000001
6196,12392,2065,124,2,2,"2^2 * 1549^1",1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002
6208,12416,2069,124,6,2,"2^6 * 97^1",1000000000000000000000006
6262,12524,2087,111,1,3,"2^1 * 31^1 * 101^1",10000000000000010000000001
6316,12632,2105,124,2,2,"2^2 * 1579^1",100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002
6317,12634,,124,0,1,"6317^1",100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
6358,12716,2119,80,1,3,"2^1 * 11^1 * 17^2",2010001
6370,12740,2123,31,1,4,"2^1 * 5^1 * 7^2 * 13^1",102101
6376,12752,2125,124,3,2,"2^3 * 797^1",1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003
6424,12848,2141,23,3,3,"2^3 * 11^1 * 73^1",100000000000000010003
6425,12850,,124,0,2,"5^2 * 257^1",1000000000000000000000000000000000000000000000000000200
6460,12920,2153,75,2,4,"2^2 * 5^1 * 17^1 * 19^1",11000102
6478,12956,2159,124,1,3,"2^1 * 41^1 * 79^1",1000000001000000000001
6532,13064,2177,137,2,3,"2^2 * 23^1 * 71^1",10000000000100000002
6560,13120,,31,5,3,"2^5 * 5^1 * 41^1",1000000000105
6586,13172,2195,137,1,3,"2^1 * 37^1 * 89^1",100000000000100000000001
6622,13244,2207,168,1,4,"2^1 * 7^1 * 11^1 * 43^1",10000000011001
6640,13280,2213,137,4,3,"2^4 * 5^1 * 83^1",10000000000000000000104
6682,13364,2227,137,1,3,"2^1 * 13^1 * 257^1",1000000000000000000000000000000000000000000000000100001
6694,13388,2231,93,1,2,"2^1 * 3347^1",1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
6698,13396,,44,1,3,"2^1 * 17^1 * 197^1",100000000000000000000000000000000000001000001
6715,13430,,137,0,3,"5^1 * 17^1 * 79^1",1000000000000001000100
6748,13496,2249,44,2,3,"2^2 * 7^1 * 241^1",10000000000000000000000000000000000000000000000001002
6767,13534,,150,0,2,"67^1 * 101^1",10000001000000000000000000
6794,13588,,62,1,3,"2^1 * 43^1 * 79^1",1000000010000000000001
6802,13604,2267,88,1,3,"2^1 * 19^1 * 179^1",10000000000000000000000000000000010000001
6803,13606,,88,0,1,"6803^1",100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
6862,13724,2287,119,1,3,"2^1 * 47^1 * 73^1",100000100000000000001
6964,13928,2321,31,2,2,"2^2 * 1741^1",1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002
7018,14036,2339,57,1,3,"2^1 * 11^2 * 29^1",1000020001
7046,14092,,106,1,3,"2^1 * 13^1 * 271^1",1000000000000000000000000000000000000000000000000000100001
7055,14110,,57,0,3,"5^1 * 17^1 * 83^1",10000000000000001000100
7108,14216,2369,119,2,2,"2^2 * 1777^1",10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002
7126,14252,2375,163,1,3,"2^1 * 7^1 * 509^1",1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001
7154,14308,,75,1,3,"2^1 * 7^2 * 73^1",100000000000000002001
7168,14336,2389,26,10,2,"2^10 * 7^1",1010
7180,14360,2393,70,2,3,"2^2 * 5^1 * 359^1",100000000000000000000000000000000000000000000000000000000000000000000102
7229,14458,,119,0,1,"7229^1",100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7270,14540,2423,70,1,3,"2^1 * 5^1 * 727^1",100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101
7288,14576,2429,44,3,2,"2^3 * 911^1",100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003
7289,14578,,119,0,2,"37^1 * 197^1",100000000000000000000000000000000100000000000
7381,14762,,39,0,2,"11^2 * 61^1",100000000000020000
7450,14900,2483,39,1,3,"2^1 * 5^2 * 149^1",10000000000000000000000000000000201
7451,14902,,163,0,1,"7451^1",1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7504,15008,2501,26,4,3,"2^4 * 7^1 * 67^1",1000000000000001004
7532,15064,,88,2,3,"2^2 * 7^1 * 269^1",100000000000000000000000000000000000000000000000000001002
7555,15110,,132,0,2,"5^1 * 1511^1",100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100
7594,15188,2531,39,1,2,"2^1 * 3797^1",100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
7612,15224,2537,132,2,3,"2^2 * 11^1 * 173^1",1000000000000000000000000000000000010002
7654,15308,2551,83,1,3,"2^1 * 43^1 * 89^1",100000000010000000000001
7721,15442,,114,0,2,"7^1 * 1103^1",10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000
7774,15548,2591,52,1,3,"2^1 * 13^2 * 23^1",100200001
7786,15572,2595,101,1,3,"2^1 * 17^1 * 229^1",10000000000000000000000000000000000000000001000001
7928,15856,,101,3,2,"2^3 * 991^1",10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003
7936,15872,2645,114,8,2,"2^8 * 31^1",10000000008
8018,16036,,158,1,3,"2^1 * 19^1 * 211^1",10000000000000000000000000000000000000010000001
8050,16100,2683,70,1,4,"2^1 * 5^2 * 7^1 * 23^1",100001201
8080,16160,2693,65,4,3,"2^4 * 5^1 * 101^1",10000000000000000000000104
8098,16196,2699,65,1,2,"2^1 * 4049^1",100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
8134,16268,2711,114,1,3,"2^1 * 7^2 * 83^1",10000000000000000002001
8180,16360,,65,2,3,"2^2 * 5^1 * 409^1",10000000000000000000000000000000000000000000000000000000000000000000000000000102
8201,16402,,114,0,2,"59^1 * 139^1",1000000000000000010000000000000000
8260,16520,2753,127,2,4,"2^2 * 5^1 * 7^1 * 59^1",10000000000001102
8383,16766,,158,0,2,"83^1 * 101^1",10010000000000000000000000
8422,16844,2807,127,1,2,"2^1 * 4211^1",100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
8476,16952,2825,83,2,3,"2^2 * 13^1 * 163^1",10000000000000000000000000000000100002
8500,17000,2833,127,2,3,"2^2 * 5^3 * 17^1",1000302
8566,17132,2855,127,1,2,"2^1 * 4283^1",100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
8584,17168,2861,26,3,3,"2^3 * 29^1 * 37^1",101000000003
8612,17224,,78,2,2,"2^2 * 2153^1",1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002
8687,17374,,109,0,3,"7^1 * 17^1 * 73^1",100000000000001001000
8746,17492,2915,34,1,2,"2^1 * 4373^1",100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
8747,17494,,47,0,1,"8747^1",10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
8807,17614,,78,0,1,"8807^1",10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
8908,17816,2969,140,2,3,"2^2 * 17^1 * 131^1",10000000000000000000000001000002
8930,17860,,47,1,4,"2^1 * 5^1 * 19^1 * 47^1",100000010000101
8953,17906,,140,0,2,"7^1 * 1279^1",100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000
9022,18044,3007,153,1,3,"2^1 * 13^1 * 347^1",100000000000000000000000000000000000000000000000000000000000000100001
9058,18116,3019,65,1,3,"2^1 * 7^1 * 647^1",1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001
9070,18140,3023,91,1,3,"2^1 * 5^1 * 907^1",10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101
9112,18224,3037,60,3,3,"2^3 * 17^1 * 67^1",1000000000001000003
9148,18296,3049,122,2,2,"2^2 * 2287^1",1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002
9152,18304,,109,6,3,"2^6 * 11^1 * 13^1",110006
9227,18454,,109,0,1,"9227^1",1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
9232,18464,3077,34,4,2,"2^4 * 577^1",1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004
9394,18788,3131,109,1,4,"2^1 * 7^1 * 11^1 * 61^1",100000000000011001
9406,18812,3135,60,1,2,"2^1 * 4703^1",10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
9476,18952,,122,2,3,"2^2 * 23^1 * 103^1",100000000000000000100000002
9538,19076,3179,78,1,3,"2^1 * 19^1 * 251^1",100000000000000000000000000000000000000000000010000001
9556,19112,3185,29,2,2,"2^2 * 2389^1",1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002
9638,19276,,122,1,3,"2^1 * 61^1 * 79^1",1000100000000000000001
9718,19436,3239,122,1,3,"2^1 * 43^1 * 113^1",100000000000000010000000000001
9841,19682,,42,0,2,"13^1 * 757^1",10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000
9880,19760,3293,135,3,4,"2^3 * 5^1 * 13^1 * 19^1",10100103
9934,19868,3311,166,1,2,"2^1 * 4967^1",1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
10024,20048,3341,135,3,3,"2^3 * 7^1 * 179^1",10000000000000000000000000000000000001003
10042,20084,3347,91,1,2,"2^1 * 5021^1",1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
10048,20096,3349,42,6,2,"2^6 * 157^1",1000000000000000000000000000000000006
10073,20146,,135,0,2,"7^1 * 1439^1",100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000
10151,20302,,148,0,1,"10151^1",1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
10192,20384,3397,60,4,3,"2^4 * 7^2 * 13^1",102004
10204,20408,3401,86,2,2,"2^2 * 2551^1",10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002
10205,20410,,86,0,3,"5^1 * 13^1 * 157^1",1000000000000000000000000000000100100
10294,20588,3431,117,1,2,"2^1 * 5147^1",10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
10381,20762,,104,0,2,"7^1 * 1483^1",1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000
10528,21056,3509,55,5,3,"2^5 * 7^1 * 47^1",100000000001005
10570,21140,3523,104,1,4,"2^1 * 5^1 * 7^1 * 151^1",100000000000000000000000000000001101
10583,21166,,55,0,2,"19^1 * 557^1",100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000
10690,21380,3563,161,1,3,"2^1 * 5^1 * 1069^1",100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101
10732,21464,3577,73,2,2,"2^2 * 2683^1",10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002
10844,21688,,117,2,2,"2^2 * 2711^1",10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002
10906,21812,3635,68,1,4,"2^1 * 7^1 * 19^1 * 41^1",1000010001001
10934,21868,,117,1,4,"2^1 * 7^1 * 11^1 * 71^1",10000000000000011001
11072,22144,,37,6,2,"2^6 * 173^1",1000000000000000000000000000000000000006
11176,22352,3725,37,3,3,"2^3 * 11^1 * 127^1",1000000000000000000000000010003
11177,22354,,161,0,1,"11177^1",10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
11333,22666,,130,0,2,"7^1 * 1619^1",1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000
11392,22784,3797,37,7,2,"2^7 * 89^1",100000000000000000000007
11482,22964,3827,81,1,2,"2^1 * 5741^1",10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
11582,23164,,112,1,2,"2^1 * 5791^1",1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
11662,23324,3887,50,1,3,"2^1 * 7^3 * 17^1",1003001
11680,23360,3893,99,5,3,"2^5 * 5^1 * 73^1",100000000000000000105
12028,24056,4009,156,2,3,"2^2 * 31^1 * 97^1",1000000000000010000000002
12076,24152,4025,68,2,2,"2^2 * 3019^1",1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002
