number,definiteConnectedNumber,optionalConnectedNumber,distanceFromRoot,towerHeight,factorCount,primeFactorization,primeNumberSystem
180,360,,18,2,3,"2^2 * 3^2 * 5^1",122
181,362,,18,0,1,"181^1",100000000000000000000000000000000000000000
182,364,,93,1,3,"2^1 * 7^1 * 13^1",101001
183,366,,93,0,2,"3^1 * 61^1",100000000000000010
184,368,61,18,3,2,"2^3 * 23^1",100000003
185,370,,44,0,2,"5^1 * 37^1",100000000100
186,372,,18,1,3,"2^1 * 3^1 * 31^1",10000000011
187,374,,44,0,2,"11^1 * 17^1",1010000
188,376,,106,2,2,"2^2 * 47^1",100000000000002
189,378,,106,0,2,"3^3 * 7^1",1030
190,380,63,106,1,3,"2^1 * 5^1 * 19^1",10000101
191,382,,44,0,1,"191^1",1000000000000000000000000000000000000000000
192,384,,13,6,2,"2^6 * 3^1",16
193,386,,119,0,1,"193^1",10000000000000000000000000000000000000000000
194,388,,119,1,2,"2^1 * 97^1",1000000000000000000000001
195,390,,119,0,3,"3^1 * 5^1 * 13^1",100110
196,392,65,26,2,2,"2^2 * 7^2",2002
197,394,,26,0,1,"197^1",100000000000000000000000000000000000000000000
198,396,,26,1,3,"2^1 * 3^2 * 11^1",10021
199,398,,119,0,1,"199^1",1000000000000000000000000000000000000000000000
200,400,,26,3,2,"2^3 * 5^2",203
201,402,,18,0,2,"3^1 * 67^1",1000000000000000010
202,404,67,26,1,2,"2^1 * 101^1",10000000000000000000000001
203,406,,39,0,2,"7^1 * 29^1",1000001000
204,408,,26,2,3,"2^2 * 3^1 * 17^1",1000012
205,410,,26,0,2,"5^1 * 41^1",1000000000100
206,412,,88,1,2,"2^1 * 103^1",100000000000000000000000001
207,414,,88,0,2,"3^2 * 23^1",100000020
208,416,69,13,4,2,"2^4 * 13^1",100004
209,418,,39,0,2,"11^1 * 19^1",10010000
210,420,,39,1,4,"2^1 * 3^1 * 5^1 * 7^1",1111
211,422,,39,0,1,"211^1",10000000000000000000000000000000000000000000000
212,424,,13,2,2,"2^2 * 53^1",1000000000000002
213,426,,13,0,2,"3^1 * 71^1",10000000000000000010
214,428,71,101,1,2,"2^1 * 107^1",1000000000000000000000000001
215,430,,101,0,2,"5^1 * 43^1",10000000000100
216,432,,114,3,2,"2^3 * 3^3",33
217,434,,26,0,2,"7^1 * 31^1",10000001000
218,436,,114,1,2,"2^1 * 109^1",10000000000000000000000000001
219,438,,52,0,2,"3^1 * 73^1",100000000000000000010
220,440,73,114,2,3,"2^2 * 5^1 * 11^1",10102
221,442,,114,0,2,"13^1 * 17^1",1100000
222,444,,70,1,3,"2^1 * 3^1 * 37^1",100000000011
223,446,,70,0,1,"223^1",100000000000000000000000000000000000000000000000
224,448,,21,5,2,"2^5 * 7^1",1005
225,450,,52,0,2,"3^2 * 5^2",220
226,452,75,13,1,2,"2^1 * 113^1",100000000000000000000000000001
227,454,,13,0,1,"227^1",1000000000000000000000000000000000000000000000000
228,456,,34,2,3,"2^2 * 3^1 * 19^1",10000012
229,458,,34,0,1,"229^1",10000000000000000000000000000000000000000000000000
230,460,,34,1,3,"2^1 * 5^1 * 23^1",100000101
231,462,,127,0,3,"3^1 * 7^1 * 11^1",11010
232,464,77,21,3,2,"2^3 * 29^1",1000000003
233,466,,83,0,1,"233^1",100000000000000000000000000000000000000000000000000
234,468,,21,1,3,"2^1 * 3^2 * 13^1",100021
235,470,,127,0,2,"5^1 * 47^1",100000000000100
236,472,,34,2,2,"2^2 * 59^1",10000000000000002
237,474,,34,0,2,"3^1 * 79^1",1000000000000000000010
238,476,79,34,1,3,"2^1 * 7^1 * 17^1",1001001
239,478,,52,0,1,"239^1",1000000000000000000000000000000000000000000000000000
240,480,,21,4,3,"2^4 * 3^1 * 5^1",114
241,482,,21,0,1,"241^1",10000000000000000000000000000000000000000000000000000
242,484,,96,1,2,"2^1 * 11^2",20001
243,486,,96,0,1,"3^5",50
244,488,81,21,2,2,"2^2 * 61^1",100000000000000002
245,490,,21,0,2,"5^1 * 7^2",2100
246,492,,47,1,3,"2^1 * 3^1 * 41^1",1000000000011
247,494,,47,0,2,"13^1 * 19^1",10100000
248,496,,109,3,2,"2^3 * 31^1",10000000003
249,498,,47,0,2,"3^1 * 83^1",10000000000000000000010
250,500,83,109,1,2,"2^1 * 5^3",301
251,502,,65,0,1,"251^1",100000000000000000000000000000000000000000000000000000
252,504,,109,2,3,"2^2 * 3^2 * 7^1",1022
253,506,,109,0,2,"11^1 * 23^1",100010000
254,508,,47,1,2,"2^1 * 127^1",1000000000000000000000000000001
255,510,,47,0,3,"3^1 * 5^1 * 17^1",1000110
256,512,85,8,8,1,"2^8",8
257,514,,122,0,1,"257^1",1000000000000000000000000000000000000000000000000000000
258,516,,122,1,3,"2^1 * 3^1 * 43^1",10000000000011
259,518,,122,0,2,"7^1 * 37^1",100000001000
260,520,,29,2,3,"2^2 * 5^1 * 13^1",100102
261,522,,29,0,2,"3^2 * 29^1",1000000020
262,524,87,29,1,2,"2^1 * 131^1",10000000000000000000000000000001
263,526,,78,0,1,"263^1",10000000000000000000000000000000000000000000000000000000
264,528,,29,3,3,"2^3 * 3^1 * 11^1",10013
265,530,,122,0,2,"5^1 * 53^1",1000000000000100
266,532,,29,1,3,"2^1 * 7^1 * 19^1",10001001
267,534,,21,0,2,"3^1 * 89^1",100000000000000000000010
268,536,89,29,2,2,"2^2 * 67^1",1000000000000000002
269,538,,29,0,1,"269^1",100000000000000000000000000000000000000000000000000000000
270,540,,42,1,3,"2^1 * 3^3 * 5^1",131
271,542,,42,0,1,"271^1",1000000000000000000000000000000000000000000000000000000000
272,544,,16,4,2,"2^4 * 17^1",1000004
273,546,,29,0,3,"3^1 * 7^1 * 13^1",101010
274,548,91,91,1,2,"2^1 * 137^1",100000000000000000000000000000001
275,550,,91,0,2,"5^2 * 11^1",10200
276,552,,16,2,3,"2^2 * 3^1 * 23^1",100000012
277,554,,16,0,1,"277^1",10000000000000000000000000000000000000000000000000000000000
278,556,,42,1,2,"2^1 * 139^1",1000000000000000000000000000000001
279,558,,42,0,2,"3^2 * 31^1",10000000020
280,560,93,16,3,3,"2^3 * 5^1 * 7^1",1103
281,562,,42,0,1,"281^1",100000000000000000000000000000000000000000000000000000000000
282,564,,16,1,3,"2^1 * 3^1 * 47^1",100000000000011
283,566,,60,0,1,"283^1",1000000000000000000000000000000000000000000000000000000000000
284,568,,104,2,2,"2^2 * 71^1",10000000000000000002
285,570,,104,0,3,"3^1 * 5^1 * 19^1",10000110
286,572,95,104,1,3,"2^1 * 11^1 * 13^1",110001
287,574,,42,0,2,"7^1 * 41^1",1000000001000
288,576,,24,5,2,"2^5 * 3^2",25
289,578,,29,0,1,"17^2",2000000
290,580,,117,1,3,"2^1 * 5^1 * 29^1",1000000101
291,582,,117,0,2,"3^1 * 97^1",1000000000000000000000010
292,584,97,117,2,2,"2^2 * 73^1",100000000000000000002
293,586,,117,0,1,"293^1",10000000000000000000000000000000000000000000000000000000000000
294,588,,117,1,3,"2^1 * 3^1 * 7^2",2011
295,590,,55,0,2,"5^1 * 59^1",10000000000000100
296,592,,24,3,2,"2^3 * 37^1",100000000003
297,594,,73,0,2,"3^3 * 11^1",10030
298,596,99,24,1,2,"2^1 * 149^1",10000000000000000000000000000000001
299,598,,117,0,2,"13^1 * 23^1",100100000
300,600,,16,2,3,"2^2 * 3^1 * 5^2",212
301,602,,16,0,2,"7^1 * 43^1",10000000001000
302,604,,16,1,2,"2^1 * 151^1",100000000000000000000000000000000001
303,606,,42,0,2,"3^1 * 101^1",10000000000000000000000010
304,608,101,24,4,2,"2^4 * 19^1",10000004
305,610,,37,0,2,"5^1 * 61^1",100000000000000100
306,612,,37,1,3,"2^1 * 3^2 * 17^1",1000021
307,614,,37,0,1,"307^1",100000000000000000000000000000000000000000000000000000000000000
308,616,,24,2,3,"2^2 * 7^1 * 11^1",11002
309,618,,24,0,2,"3^1 * 103^1",100000000000000000000000010
310,620,103,86,1,3,"2^1 * 5^1 * 31^1",10000000101
311,622,,86,0,1,"311^1",1000000000000000000000000000000000000000000000000000000000000000
312,624,,37,3,3,"2^3 * 3^1 * 13^1",100013
313,626,,130,0,1,"313^1",10000000000000000000000000000000000000000000000000000000000000000
314,628,,37,1,2,"2^1 * 157^1",1000000000000000000000000000000000001
315,630,,37,0,3,"3^2 * 5^1 * 7^1",1120
316,632,105,37,2,2,"2^2 * 79^1",1000000000000000000002
317,634,,37,0,1,"317^1",100000000000000000000000000000000000000000000000000000000000000000
318,636,,55,1,3,"2^1 * 3^1 * 53^1",1000000000000011
319,638,,55,0,2,"11^1 * 29^1",1000010000
320,640,,11,6,2,"2^6 * 5^1",106
321,642,,24,0,2,"3^1 * 107^1",1000000000000000000000000010
322,644,107,99,1,3,"2^1 * 7^1 * 23^1",100001001
323,646,,99,0,2,"17^1 * 19^1",11000000
324,648,,24,2,2,"2^2 * 3^4",42
325,650,,24,0,2,"5^2 * 13^1",100200
326,652,,24,1,2,"2^1 * 163^1",10000000000000000000000000000000000001
327,654,,143,0,2,"3^1 * 109^1",10000000000000000000000000010
328,656,109,112,3,2,"2^3 * 41^1",1000000000003
329,658,,50,0,2,"7^1 * 47^1",100000000001000
330,660,,112,1,4,"2^1 * 3^1 * 5^1 * 11^1",10111
